Nome,Norte,Este,Z,Descricao,SigmaN,SigmaE,SigmaZ
Base_1,7672885.504,583763.522,964.832,,,,,
Pt1,7672998.133,583667.067,948.821,REPRESA 01,0,0,0.007
Pt2,7672997.801,583672.566,951.220,CE 01,0,0,0.005
Pt3,7672997.221,583676.348,951.650,CE 01,0,0,0.005
Pt4,7672990.303,583697.283,951.820,CE 01,0.001,0.001,0.02
Pt5,7672981.478,583727.836,955.425,CE 01,0,0,0.012
Pt6,7672978.455,583738.136,957.135,CE 01,0,0,0.01
Pt7,7672969.324,583769.840,962.158,CE 01,0,0,0.008
Pt8,7672963.344,583789.761,964.411,CE 02 M7864,0,0,0.007
Pt9,7672954.471,583789.265,965.191,CE 02,0.001,0.001,0.017
Pt10,7672929.142,583787.230,966.681,CE 02,0,0,0.006
Pt11,7672895.675,583784.866,966.778,CE 02,0,0,0.006
Pt12,7672861.398,583782.650,967.996,CE 02,0.001,0.001,0.019
Pt13,7672832.488,583781.361,968.974,CE 02,0.001,0.001,0.018
Pt14,7672810.231,583780.462,969.398,CE 02,0.001,0.001,0.007
Pt15,7672776.830,583777.265,969.361,CE 02,0.001,0,0.007
Pt16,7672753.727,583774.444,968.997,CE 03 M7865,0,0,0.005
Pt17,7672756.610,583767.697,968.863,CE 03,0,0,0.007
Pt18,7672762.406,583759.797,968.204,CE 03,0,0,0.006
Pt19,7672777.894,583738.287,966.527,CE 03,0,0,0.006
Pt20,7672786.816,583715.072,963.788,CE 03,0,0,0.005
Pt21,7672799.424,583681.694,959.821,CE 03,0,0,0.005
Pt22,7672808.844,583656.862,956.877,CE 03,0,0,0.005
Pt23,7672816.951,583634.604,954.719,CE 03,0.001,0.001,0.02
Pt24,7672825.040,583612.612,952.357,CE 03,0.001,0.001,0.008
Pt25,7672831.486,583595.440,949.957,CE 03,0,0,0.006
Pt26,7672837.783,583577.663,948.490,CE 03,0,0,0.006
Pt27,7672839.610,583572.627,948.214,CE 03,0,0,0.005
Pt28,7672845.649,583554.311,947.123,BJ 04 M7866,0,0,0.005
Pt29,7672870.852,583562.130,943.185,CE 04,0,0,0.01
Pt30,7672879.768,583548.339,948.078,CE 04,0.001,0.001,0.012
Pt31,7672889.061,583531.180,950.551,CE 04,0,0,0.006
Pt32,7672899.513,583511.538,953.563,CE 04,0,0,0.007
Pt33,7672908.211,583494.731,956.458,CE 04,0,0,0.052
Pt34,7672909.966,583491.631,956.807,CE 05,0.001,0.002,0.021
Pt35,7672923.309,583466.948,960.222,CE 05,0,0.001,0.01
Pt36,7672937.739,583439.709,964.361,CE 05,0,0,0.009
Pt37,7672953.690,583409.778,968.514,CE 05,0,0,0.006
Pt38,7672973.628,583419.576,969.306,CE 05,0.006,0.006,0.117
Pt39,7673010.306,583438.687,972.983,CE 05,0,0,0.009
Pt40,7673029.096,583448.503,973.622,CE 05,0.001,0.001,0.01
Pt41,7673045.159,583456.607,973.109,CE 05,0.002,0.002,0.022
Pt42,7673058.852,583464.405,970.644,CE 06,0,0,0.007
Pt43,7673047.437,583486.756,967.435,CE 06,0,0,0.005
Pt44,7673038.589,583502.778,964.273,CE 06,0,0,0.008
Pt45,7673026.914,583524.623,961.032,CE 06,0.003,0.003,0.061
Pt46,7673017.185,583542.491,958.365,CE 06,0.003,0.003,0.079
Pt47,7673003.035,583568.711,954.213,CE 06,0.001,0.001,0.015
Pt48,7673001.818,583571.822,953.794,CE 06,0,0,0.009
Pt49,7673001.085,583576.134,953.176,CE 06,0.007,0.006,0.082
Pt50,7673000.857,583602.304,951.328,REPRESA 06,0,0,0.005
Pt51,7673000.703,583608.215,952.449,REPRESA 06,0,0.001,0.009
